* Partlist from file: keyboard2.lay6" / 2021-03-25 18:56:05
*
* All coordinates in mm
*
* No	Name	Value	Layer	Pos-X	Pos-Y	Rot
*
1	C1		Top	8.61	7.06	270
2	C2		Top	11.61	6.49	270
3	D1		Top	4.13	41.70	0
4	D2		Top	6.73	41.70	0
5	D3		Top	9.33	41.70	0
6	D4		Top	11.93	41.70	0
7	D5		Top	14.53	41.70	0
8	D6		Top	20.73	41.70	0
9	D7		Top	23.33	41.70	0
10	D8		Top	6.00	3.98	0
11	IC 1		Top	15.45	4.15	0
12	R1		Top	9.24	15.24	90
13	R2		Top	9.99	21.89	90
14	R3		Top	9.99	23.24	90
15	R4		Top	9.24	13.84	90
16	R5		Top	18.29	39.64	90
17	R10		Top	4.77	43.76	90
18	R11		Top	7.37	43.76	90
19	R12		Top	9.97	43.76	90
20	R13		Top	12.57	43.76	90
21	R14		Top	15.17	43.76	90
22	R15		Top	5.04	5.89	90
23	R16		Top	7.59	2.14	90
24	R17		Top	21.37	43.76	90
25	R18		Top	23.97	43.76	90
26	R31		Top	5.43	41.70	180
27	R32		Top	8.03	41.70	180
28	R33		Top	10.63	41.70	180
29	R34		Top	13.23	41.70	180
30	R35		Top	15.83	41.70	180
31	R36		Top	20.98	4.25	180
32	R37		Top	22.03	41.70	180
33	R38		Top	24.63	41.70	180
34	R39		Top	4.89	2.14	90
35	R40		Top	5.04	7.14	90
36	R41		Top	19.68	4.25	180
37	S1		Top	6.00	34.55	0
38	S2		Top	14.00	34.55	0
39	S3		Top	22.00	34.55	0
40	S4		Top	6.00	26.55	0
41	S5		Top	14.00	26.55	0
42	S6		Top	22.00	26.55	0
43	S7		Top	6.00	18.55	0
44	S8		Top	14.00	18.55	0
45	S9		Top	22.00	18.55	0
46	S10		Top	6.00	10.55	0
47	S11		Top	14.00	10.55	0
48	S12		Top	22.00	10.55	0
49	T1		Top	18.30	42.46	0
